CIDADE,DATA_COMUNICACAO_BO,FLAG_STATUS,VIOLENCIA_DOMESTICA,RUBRICA,DESCR_SUBTIPOLOCAL,DESCR_RELACIONAMENTO,IDADE_PESSOA,DESCR_PROFISSAO,DESCR_GRAU_INSTRUCAO
MATAO                                   ,2019-03-01,Consumado,,Dano (art. 163),CASA,,59,NAO INFORMADA                 ,Superior completo                       
ARARAQUARA                              ,2019-03-01,Consumado,,Ameaça (art. 147),CASA,,75,COSTUREIRO(A)                 ,1 Grau incompleto                       
S.SIMAO                                 ,2019-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),VIA PÚBLICA,ENVOLVIMENTO AMOROSO                    ,31,,
ORLANDIA                                ,2019-03-01,Consumado,,Lesão corporal (art. 129),POSTO DE GASOLINA,,24,DESEMPREGADO(A)               ,2 Grau incompleto                       
ARARAQUARA                              ,2019-03-01,Consumado,,Injúria (art. 140),PREFEITURA MUNICIPAL,,29,FUNCION.PUBLICO MUNICIPAL     ,Superior completo                       
LUIS ANTONIO                            ,2019-03-01,Consumado,,Lesão corporal (art. 129),LOJAS,,27,AUTONOMO(A)                   ,2 Grau completo                         
MIGUELOPOLIS                            ,2019-03-01,Consumado,,Difamação (art. 139),VIA PÚBLICA,,39,AUTONOMO(A)                   ,2 Grau completo                         
MIGUELOPOLIS                            ,2019-03-01,Consumado,,Lesão corporal (art. 129),VIA PÚBLICA,,39,AUTONOMO(A)                   ,2 Grau completo                         
PORTO FERREIRA                          ,2019-03-01,Consumado,,Injúria (art. 140),POSTO DE SAÚDE,,41,,
RIFAINA                                 ,2019-03-01,Consumado,,Dano (art. 163),OUTROS,,29,SERVENTE                      ,2 Grau completo                         
PORTO FERREIRA                          ,2019-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,PARENTESCO                              ,48,NAO INFORMADA                 ,
LUIS ANTONIO                            ,2019-03-01,Consumado,,Lesão corporal (art. 129),VIA PÚBLICA,,22,ESTUDANTE                     ,
LUIS ANTONIO                            ,2019-03-01,Consumado,,Calúnia (art. 138),PADARIA/CONFEITARIA,,19,ATENDENTE                     ,2 Grau incompleto                       
LUIS ANTONIO                            ,2019-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),VIA PÚBLICA,CASAMENTO                               ,40,NAO INFORMADA                 ,
ARARAQUARA                              ,2019-03-01,Consumado,,Difamação (art. 139),PREFEITURA MUNICIPAL,,29,FUNCION.PUBLICO MUNICIPAL     ,Superior completo                       
RIFAINA                                 ,2019-03-01,Consumado,,Lesão corporal (art. 129),OUTROS,,43,,1 Grau completo                         
RIFAINA                                 ,2019-03-01,Consumado,,Lesão corporal (art. 129),OUTROS,,35,FAXINEIRO(A)                  ,1 Grau completo                         
FRANCA                                  ,2019-03-01,Consumado,,Ameaça (art. 147),CASA,,37,ASSISTENTE SOCIAL             ,
CANDIDO RODRIGUES                       ,2019-03-01,Consumado,,Ameaça (art. 147),CASA-VARANDA,,37,COSTUREIRO(A)                 ,
GUAIRA                                  ,2019-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),VIA PÚBLICA-DEFRENTE A RESIDÊNCIA DA VÍTIMA,UNIAO ESTAVEL                           ,35,TRABALHADOR RURAL             ,
GUAIRA                                  ,2019-03-01,Consumado,VIOLÊNCIA DOMESTICA,Dano (art. 163),VIA PÚBLICA-DEFRENTE A RESIDÊNCIA DA VÍTIMA,UNIAO ESTAVEL                           ,35,TRABALHADOR RURAL             ,
CRAVINHOS                               ,2019-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,UNIAO ESTAVEL                           ,45,AUXILIAR DE PRODUCAO          ,2 Grau incompleto                       
CRAVINHOS                               ,2019-03-01,Consumado,VIOLÊNCIA DOMESTICA,Injúria (art. 140),CASA,UNIAO ESTAVEL                           ,45,AUXILIAR DE PRODUCAO          ,2 Grau incompleto                       
S.SIMAO                                 ,2019-03-01,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),VIA PÚBLICA,ENVOLVIMENTO AMOROSO                    ,31,,
BATATAIS                                ,2019-03-01,Consumado,,Lesão corporal (art. 129),VIA PÚBLICA,,54,PRENDAS DOMESTICAS            ,1 Grau incompleto                       
FRANCA                                  ,2019-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,CASAMENTO                               ,40,,
FRANCA                                  ,2019-03-01,Consumado,,Ameaça (art. 147),CASA,,24,PRENDAS DOMESTICAS            ,1 Grau completo                         
FRANCA                                  ,2019-03-01,Consumado,,Lesão corporal (art. 129),CASA,,31,DAMA DE COMPANHIA             ,2 Grau completo                         
FRANCA                                  ,2019-03-01,Consumado,,Difamação (art. 139),CASA,,50,COMERCIANTE                   ,
FRANCA                                  ,2019-03-01,Consumado,,Ameaça (art. 147),CASA,,37,DESEMPREGADO                  ,
FRANCA                                  ,2019-03-01,Consumado,,Ameaça (art. 147),CASA,,61,PSICOLOGO(A)                  ,Superior completo                       
GUAIRA                                  ,2019-03-01,Consumado,,Injúria (art. 140),CASA,,40,AUXILIAR ADMINISTRATIVO       ,
GUAIRA                                  ,2019-03-01,Consumado,,Difamação (art. 139),CASA,,40,AUXILIAR ADMINISTRATIVO       ,
CANDIDO RODRIGUES                       ,2019-03-01,Consumado,,Injúria (art. 140),CASA-VARANDA,,37,COSTUREIRO(A)                 ,
BARRETOS                                ,2019-03-01,Consumado,,Dano (art. 163),OUTROS,,27,CAIXA                         ,2 Grau completo                         
BARRETOS                                ,2019-03-01,Consumado,,Difamação (art. 139),CASA,,27,BIOMEDICO(A)                  ,Superior completo                       
BARRETOS                                ,2019-03-01,Consumado,,Calúnia (art. 138),CASA,,48,ESCREVENTE                    ,Superior incompleto                     
BARRETOS                                ,2019-03-01,Consumado,,Calúnia (art. 138),CASA,,27,BIOMEDICO(A)                  ,Superior completo                       
JARDINOPOLIS                            ,2019-03-01,Consumado,,Ameaça (art. 147),CASA,,61,AJUDANTE                      ,2 Grau completo                         
JARDINOPOLIS                            ,2019-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,CASAMENTO                               ,45,FAXINEIRO(A)                  ,2 Grau completo                         
COLOMBIA                                ,2019-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),VIA PÚBLICA,ENVOLVIMENTO AMOROSO                    ,19,NAO INFORMADA                 ,
S.ROSA DE VITERBO                       ,2019-03-01,Consumado,,Lesão corporal (art. 129),VIA PÚBLICA,,89,,
MORRO AGUDO                             ,2019-03-01,Consumado,,Injúria (art. 140),VIA PÚBLICA,,37,PRENDAS DOMESTICAS            ,2 Grau completo                         
IBITINGA                                ,2019-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,ENVOLVIMENTO AMOROSO                    ,0,,
ITUVERAVA                               ,2019-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,ENVOLVIMENTO AMOROSO                    ,21,ESTUDANTE                     ,
GUARA                                   ,2019-03-01,Consumado,VIOLÊNCIA DOMESTICA,Lesão corporal (art. 129),CASA,ENVOLVIMENTO AMOROSO                    ,19,PRENDAS DOMESTICAS            ,2 Grau completo                         
GUARA                                   ,2019-03-01,Consumado,VIOLÊNCIA DOMESTICA,Ameaça (art. 147),CASA,ENVOLVIMENTO AMOROSO                    ,19,PRENDAS DOMESTICAS            ,2 Grau completo                         
BORBOREMA                               ,2019-03-01,Consumado,,Injúria (art. 140),OUTROS,,35,ASSISTENTE SOCIAL             ,Superior completo                       
OLIMPIA                                 ,2019-03-01,Consumado,,Ameaça (art. 147),VIA PÚBLICA,,28,BALCONISTA                    ,Superior incompleto                     
BARRETOS                                ,2019-03-01,Consumado,,Difamação (art. 139),CASA,,48,ESCREVENTE                    ,Superior incompleto                     
MIGUELOPOLIS                            ,2019-03-01,Consumado,,Ameaça (art. 147),VIA PÚBLICA,,39,AUTONOMO(A)                   ,2 Grau completo                         
S.SIMAO                                 ,2019-03-01,Consumado,VIOLÊNCIA DOMESTICA,Dano (art. 163),VIA PÚBLICA,ENVOLVIMENTO AMOROSO                    ,31,,
BARRETOS                                ,2019-03-01,Consumado,,Ameaça (art. 147),CASA,,41,,
OLIMPIA                                 ,2019-03-01,Consumado,,Ameaça (art. 147),CASA,,9,ESTUDANTE                     ,
ALTAIR                                  ,2019-03-01,Consumado,,Lesão corporal (art. 129),PRAÇA-OUTROS,,35,COMERCIANTE                   ,2 Grau completo                         
PATROCINIO PAULISTA                     ,2019-03-01,Consumado,,Ameaça (art. 147),VIA PÚBLICA,,48,NAO INFORMADA                 ,
